[2019-02-21 21:40:42,721]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {}, "response": []}
[2019-02-21 21:42:31,058]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	400 - {"request": null, "response": {"message": {"status": "Missing required parameter in the query string"}}}
[2019-02-21 21:43:04,100]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	200 - {"request": null, "response": {"client_id": 1, "client_key": "admin", "client_secret": "admin123", "status_admin": "admin"}}
[2019-02-21 21:43:31,412]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "admin", "client_secret": "admin123", "status": "admin"}, "response": [{"client_id": 1, "client_key": "admin", "client_secret": "admin123", "status_admin": "admin"}]}
[2019-02-21 21:44:12,078]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	200 - {"request": null, "response": {"client_id": 2, "client_key": "user1", "client_secret": "user1", "status_admin": "user"}}
[2019-02-21 21:44:53,941]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	401 - {"request": {"client_key": "admin1", "client_secret": "admin123"}, "response": {"status": "UNAUTORIZED", "message": "Invalid key or secret"}}
[2019-02-21 21:45:17,320]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {}, "response": [{"client_id": 1, "client_key": "admin", "client_secret": "admin123", "status_admin": "admin"}, {"client_id": 2, "client_key": "user1", "client_secret": "user1", "status_admin": "user"}]}
[2019-02-21 21:45:54,763]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "admin", "client_secret": "admin123"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3NjAzNTQsIm5iZiI6MTU1MDc2MDM1NCwianRpIjoiZDI4MjM0OTktZjQxMi00ZjUyLWFlYzEtMTU4NzQ4YmI2NGMxIiwiZXhwIjoxNTUwNzYxMjU0LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJhZG1pbiIsImNsaWVudF9zZWNyZXQiOiJhZG1pbjEyMyIsInN0YXR1c19hZG1pbiI6ImFkbWluIn0sImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImNsaWVudF9pZCI6MSwiY2xpZW50X2tleSI6ImFkbWluIiwiY2xpZW50X3NlY3JldCI6ImFkbWluMTIzIiwic3RhdHVzX2FkbWluIjoiYWRtaW4ifX0.1GgIkILcPrsscNRTMAvS1BGD1YH-PtNUISzk2uv0grs"}}
[2019-02-21 21:46:54,224]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "user1", "client_secret": "user1"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3NjA0MTQsIm5iZiI6MTU1MDc2MDQxNCwianRpIjoiNjAxZjY2MWEtN2RhZC00OTQxLTk5NTQtMWM3MmNjYWMyNTA3IiwiZXhwIjoxNTUwNzYxMzE0LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjIsImNsaWVudF9rZXkiOiJ1c2VyMSIsImNsaWVudF9zZWNyZXQiOiJ1c2VyMSIsInN0YXR1c19hZG1pbiI6InVzZXIifSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiY2xpZW50X2lkIjoyLCJjbGllbnRfa2V5IjoidXNlcjEiLCJjbGllbnRfc2VjcmV0IjoidXNlcjEiLCJzdGF0dXNfYWRtaW4iOiJ1c2VyIn19.cShvNNmtKxsmKiisLwNmcSVkZIrFpybLylYDsztQx7w"}}
[2019-02-21 21:48:55,753]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:46} WARNING - REQUEST_LOG	200 - {"request": {"client_key": "user1", "client_secret": "user1"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3NjA1MzUsIm5iZiI6MTU1MDc2MDUzNSwianRpIjoiM2Y4MjZhYTQtN2RkNy00MGY3LTgxZTQtYjhmYzdiMTU0MzZlIiwiZXhwIjoxNTUwNzYxNDM1LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjIsImNsaWVudF9rZXkiOiJ1c2VyMSIsImNsaWVudF9zZWNyZXQiOiJ1c2VyMSIsInN0YXR1c19hZG1pbiI6InVzZXIifSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiY2xpZW50X2lkIjoyLCJjbGllbnRfa2V5IjoidXNlcjEiLCJjbGllbnRfc2VjcmV0IjoidXNlcjEiLCJzdGF0dXNfYWRtaW4iOiJ1c2VyIn19.dERwLHgUOuLiaE15zVjyBwGvOgHe-D5jWC_NUFH8Rzk"}}
[2019-02-21 22:12:40,427]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	200 - {"request": null, "response": {"message": "SUCCESS", "input": {"venue_id": 1, "nama_venue": "Rumah Kantja", "lokasi": "Jl. Candi, Malang", "kategori": "Coffee Shop"}}}
[2019-02-21 22:13:23,639]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	200 - {"request": null, "response": {"message": "SUCCESS", "input": {"venue_id": 2, "nama_venue": "Kopi Yor", "lokasi": "Jl. Bondowoso, Malang", "kategori": "Coffee Shop"}}}
[2019-02-21 22:14:25,620]{/home/alphatech/Documents/REST API/Flask Training/rest_training/group_project/blueprints/__init__.py:53} WARNING - REQUEST_LOG	200 - {"request": null, "response": {"message": "SUCCESS", "input": {"venue_id": 3, "nama_venue": "Candi Badut", "lokasi": "Malang", "kategori": "Wisata"}}}
